id,ひとこと,pattern_id
1,価値創造マーケティングを学ぶということは、価値創造の観点から物を見て考えられるように、脳を鍛えるということです。そして、自分なりの答えを見つけられるようになるということです。,1
2,よく、始める前から『よい実践をしたい』『失敗したらどうしよう』という方がいますが、まずは実践をしてみなければ、良いも悪いもないんですよ。,2
3,守破離の『守』。まねぶことは、実践知の習得や、成長の物語に必ず出てくる、基本です。,3
4,売り上げの上昇だけが変化だと思っていると、成功の兆しを見逃してしまいます。人にフォーカスすることが基本です。,4
5,実践が楽しくてどんどんやるのはいいのだけれど、意図的でないと、レベルが上がりにくいです。,5
6,ある程度成長してきたら、まねぶだけの時代からの脱皮をしなければ。,6
7,ここは、先を行くみんなが通った道だ。この悩みを持っている君は、今、レジェンドの一歩手前にいる,7
8,事例だけではなくて、商売の本質・理論に触れていないと、自分のものにならず、応用には行けません。,8
9,車の場合、性能のよいエンジンが開発できたとしても、そういった部分的な成果は車が走るという成果に直結するものではないから、施策ができるということと店・会社がうまくいくのとは別のことである。,9
11,二つの大きな勘違いがある。一つは商品が良くないから売れないというもの。もう一つは、価格が高いから売れないと思ってしまっているものです。,11
12,目に入っても実は売っていることに気付かれていないのですが、そのことに気づかないから、他に売れない理由を探してしまうんです。,12
13,情報デザインをしなければ、多くは模様になってしまっているから、お客さんは情報として認識していないんです。,13
14,はじめはみなさん、競合とか価格ばかりを見ていますが、人の行動に目がいく様になることがすべての基本なんです。,14
15,多くの商品は、見てもその価値はわからないでしょ。メーカーや販売店が語っている以上に価値はつくれるんです。,15
16,感覚的に、直感的に！,16
17,意思決定のハードルを取り除くと、バーンと売れる。そこには、意思決定の促進要素を乗せるか、阻害要素を取り除くかのふたつがある。,17
18,360度全方向に広げ、お客さんの体験価値を上げる。,18
19,初めにお客さんの予算を聞いてはいけません。なぜ買いに来たかを聞くことが大事。何を買うかは、こちらが決めるんです。,19
20,アーティストとして、世界を売るんです。,20
21,お客さんとの絆をつくると、先行きの不安がなくなります。,21
22,元栓は自分でしめないとダメです。しめないと全部流れていくばかり。フローからストックの思考に変えなければ。,22
23,初めの接触の後、覚えてもらうためには21日間で3回接触することが必要だと言われている。これを21日間感動プログラムと呼んでいます。,23
24,お客さんに連絡をするのは、売るためではなくて、まずは人と人としての絆をつくるための活動です。,24
25,Wetでもなく、お客様扱いでもなく、人同士として。お友達になりましょうと言っているわけではないんです。,25
26,情緒的な体験がなければ、絆は生まれません。,26
27,絆があるからこそ、お客さんを幸せにする商品やサービスを提供する。ちゃんとお金を使える機会を提供しないといけない,27
28,うちらしさが見えてくると、自分たちがどこの価値提供をしているのかが分かるようになってくる,28
29,変化し続けることで、応援され続ける存在に。,29
30,お客さんから参加者に変わるのは、ワクワク系での象徴的なこと。『手伝って！』と言ったときに、お客さんがいやってくれるなら、それはコミュニティです。,30
33,「まねぶと、つかる。これが習得の基本です。できれば、短期間に、密度濃く浸かっていただきたい。,33
35,意図を超えたイノベーションが創発される。,35
40,精進を怠ると、相対的価値は落ちていくので、社会から必要なくなっていってしまう,40